Date,Cumulative,Daily,Daily_MA7
2020-01-22,1,0.0,
2020-01-23,1,0.0,
2020-01-24,2,1.0,
2020-01-25,2,0.0,
2020-01-26,5,3.0,
2020-01-27,5,0.0,
2020-01-28,5,0.0,0.5714285714285714
2020-01-29,6,1.0,0.7142857142857143
2020-01-30,6,0.0,0.7142857142857143
2020-01-31,8,2.0,0.8571428571428571
2020-02-01,8,0.0,0.8571428571428571
2020-02-02,8,0.0,0.42857142857142855
2020-02-03,11,3.0,0.8571428571428571
2020-02-04,11,0.0,0.8571428571428571
2020-02-05,11,0.0,0.7142857142857143
2020-02-06,12,1.0,0.8571428571428571
2020-02-07,12,0.0,0.5714285714285714
2020-02-08,12,0.0,0.5714285714285714
2020-02-09,12,0.0,0.5714285714285714
2020-02-10,12,0.0,0.14285714285714285
2020-02-11,13,1.0,0.2857142857142857
2020-02-12,13,0.0,0.2857142857142857
2020-02-13,14,1.0,0.2857142857142857
2020-02-14,14,0.0,0.2857142857142857
2020-02-15,14,0.0,0.2857142857142857
2020-02-16,14,0.0,0.2857142857142857
2020-02-17,15,1.0,0.42857142857142855
2020-02-18,16,1.0,0.42857142857142855
2020-02-19,16,0.0,0.42857142857142855
2020-02-20,16,0.0,0.2857142857142857
2020-02-21,16,0.0,0.2857142857142857
2020-02-22,16,0.0,0.2857142857142857
2020-02-23,16,0.0,0.2857142857142857
2020-02-24,17,1.0,0.2857142857142857
2020-02-25,18,1.0,0.2857142857142857
2020-02-26,19,1.0,0.42857142857142855
2020-02-27,19,0.0,0.42857142857142855
2020-02-28,19,0.0,0.42857142857142855
2020-02-29,26,7.0,1.4285714285714286
2020-03-01,39,13.0,3.2857142857142856
2020-03-02,57,18.0,5.714285714285714
2020-03-03,79,22.0,8.714285714285714
2020-03-04,113,34.0,13.428571428571429
2020-03-05,184,71.0,23.571428571428573
2020-03-06,247,63.0,32.57142857142857
2020-03-07,417,170.0,55.857142857142854
2020-03-08,538,121.0,71.28571428571429
2020-03-09,630,92.0,81.85714285714286
2020-03-10,797,167.0,102.57142857142857
