Date,Cumulative,Daily,Daily_MA7
2020-01-22,1,0.0,
2020-01-23,1,0.0,
2020-01-24,1,0.0,
2020-01-25,1,0.0,
2020-01-26,1,0.0,
2020-01-27,1,0.0,
2020-01-28,1,0.0,0.0
2020-01-29,1,0.0,0.0
2020-01-30,1,0.0,0.0
2020-01-31,1,0.0,0.0
2020-02-01,1,0.0,0.0
2020-02-02,1,0.0,0.0
2020-02-03,1,0.0,0.0
2020-02-04,1,0.0,0.0
2020-02-05,1,0.0,0.0
2020-02-06,1,0.0,0.0
2020-02-07,1,0.0,0.0
2020-02-08,1,0.0,0.0
2020-02-09,1,0.0,0.0
2020-02-10,1,0.0,0.0
2020-02-11,1,0.0,0.0
2020-02-12,1,0.0,0.0
2020-02-13,1,0.0,0.0
2020-02-14,1,0.0,0.0
2020-02-15,1,0.0,0.0
2020-02-16,1,0.0,0.0
2020-02-17,1,0.0,0.0
2020-02-18,1,0.0,0.0
2020-02-19,1,0.0,0.0
2020-02-20,1,0.0,0.0
2020-02-21,1,0.0,0.0
2020-02-22,1,0.0,0.0
2020-02-23,1,0.0,0.0
2020-02-24,1,0.0,0.0
2020-02-25,1,0.0,0.0
2020-02-26,1,0.0,0.0
2020-02-27,1,0.0,0.0
2020-02-28,1,0.0,0.0
2020-02-29,2,1.0,0.14285714285714285
2020-03-01,2,0.0,0.14285714285714285
2020-03-02,7,5.0,0.8571428571428571
2020-03-03,8,1.0,1.0
2020-03-04,12,4.0,1.5714285714285714
2020-03-05,13,1.0,1.7142857142857142
2020-03-06,15,2.0,2.0
2020-03-07,18,3.0,2.2857142857142856
2020-03-08,22,4.0,2.857142857142857
2020-03-09,24,2.0,2.4285714285714284
2020-03-10,29,5.0,3.0
2020-03-11,34,5.0,3.142857142857143
2020-03-12,45,11.0,4.571428571428571
2020-03-13,52,7.0,5.285714285714286
2020-03-14,61,9.0,6.142857142857143
2020-03-15,72,11.0,7.142857142857143
2020-03-16,97,25.0,10.428571428571429
2020-03-17,133,36.0,14.857142857142858
2020-03-18,198,65.0,23.428571428571427
